,customer_id,time,amount,became_member_on,gender,age,income
12654,02c083884c7d45b39cc68e1314fec56c,0,0.8300000000000001,2016-07-11,F,20,30000.0
12657,9fa9ae8f57894cc9a3b8a9bbe0fc1b2f,0,34.56,2016-01-17,M,42,96000.0
12659,54890f68699049c2a04d415abc25e717,0,13.23,2017-12-28,M,36,56000.0
12670,b2f1cd155b864803ad8334cdf13c4bd2,0,19.51,2017-10-16,F,55,94000.0
12671,fe97aa22dd3e48c8b143116a8403dd52,0,18.97,2017-12-17,F,39,67000.0
12678,629fc02d56414d91bca360decdfa9288,0,33.9,2018-06-05,M,52,72000.0
12686,bbeb54e861614fc7b22a8844f72dca6c,0,0.22,2017-12-07,,118,
12687,a97e6f33219c432db82acfa0d19c602d,0,18.59,2013-08-06,F,75,69000.0
12691,676506bad68e4161b9bbaffeb039626b,0,18.01,2017-05-15,M,37,92000.0
12696,8f7dd3b2afe14c078eb4f6e6fe4ba97d,0,19.11,2015-09-03,M,48,62000.0
12706,4cbe33c601a5407f8202086565c55111,0,36.19,2017-10-15,M,53,87000.0
12709,b432b74402bb4981a4651c8df1670365,0,6.46,2017-09-12,F,63,70000.0
12711,a04fcfd571034456aaa6d56c0a3fd9b6,0,5.02,2018-04-08,F,57,37000.0
12716,227f2d69e46a4899b70d48182822cff6,0,28.39,2018-05-12,M,51,100000.0
12720,bb0f25e23a4c4de6a645527c275cd594,0,28.08,2014-06-11,M,56,76000.0
12724,c2c72ce6038644c797208046d1e3498a,0,0.75,2017-10-16,F,49,57000.0
12738,7ca349e55ff544c7a13addfdea2e2c06,0,1.02,2017-08-28,,118,
12743,d72d201be5794279aa716d8ad82b8d90,0,13.57,2016-02-23,F,51,73000.0
12756,ad80753fc9e0485c9e6b1cc9478d827f,0,10.22,2018-02-24,M,61,68000.0
12763,73ffefd41e9a4ca3ab26b2b3697c6eb7,0,31.42,2015-09-29,F,67,67000.0
12766,3e621194f72e40d7a0b695ee9b7c38b7,0,27.89,2017-08-16,F,59,90000.0
12768,1f5c961416e64c5d88098b02b1bdf246,0,4.2,2014-01-28,M,43,41000.0
12775,3bcc51fdde354eb1949c813dbc905182,0,13.05,2016-06-13,F,54,52000.0
12777,ed46fca6de7042478b411690878dc069,0,1.16,2018-04-05,,118,
12779,b860d355ef6e4c66b5d5a837c56ef32d,0,38.38,2017-12-26,F,49,110000.0
12781,4ad3748475204cf99571183f05b5e2f7,0,4.08,2014-08-10,M,60,56000.0
12783,99297ea01107436fa8c2e2bc86f55d89,0,5.78,2017-03-25,M,62,35000.0
12785,24115a61df25473e84a8a03f3c98de1a,0,14.27,2018-05-23,M,54,39000.0
12794,7195944f0cc34115b0a5e7b4a62055f2,0,11.52,2016-03-06,F,47,77000.0
12797,afce4cf8194f4e90a3e92da941a23601,0,13.93,2016-09-26,M,31,55000.0
12816,a2ffc22184d94d6fa21b924eb49c0d06,0,18.97,2017-09-15,M,19,69000.0
12824,e243c277c5ef41d0b9afbf1eb76cc606,0,4.05,2018-02-26,M,67,35000.0
12825,2481f1fcfbcb4b288e5a03af02d95373,0,30.03,2016-12-24,F,64,83000.0
12834,c3321bc76743445c9103eef0ce9d833b,0,21.84,2015-09-12,M,76,99000.0
12840,162e7d9c644b438ea4606e337df0d3d1,0,10.37,2016-04-19,M,64,60000.0
12849,098d124614df4e4b862d678160b98638,0,1.21,2016-01-01,,118,
12851,c18f1cdfae78482aa7d67712d423c83e,0,5.46,2016-06-28,F,40,41000.0
12853,98b81a8ffdd14bb986d80673491171a7,0,7.4,2016-06-01,M,58,44000.0
12854,62bacb593a434f0d96b814075418e983,0,2.95,2017-08-10,,118,
12861,de90515e9f174ddfb8b4c677448286ef,0,19.82,2017-09-11,M,55,74000.0
12864,5152fa6375184287b06e2fd0d5abed34,0,11.83,2017-07-25,F,63,56000.0
12876,94613cfbdf45424d94e232e56e64d592,0,5.31,2017-03-08,,118,
12886,baec6fd421ca41948585242e20df9852,0,2.44,2015-08-25,M,59,68000.0
12888,2520b80ef6024377adb7d8fb5691160e,0,3.26,2017-05-06,,118,
12899,5d048a36203c483facb5ed09983ab388,0,24.8,2017-04-03,M,59,74000.0
12907,cc44cc35b0f044aaa9f174549fe86577,0,1.23,2013-10-06,F,38,59000.0
